title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,Four,In stock,All Products,,4,True,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,Three,In stock,All Products,,3,True,
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,Five,In stock,All Products,,5,True,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,One,In stock,All Products,,1,True,
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,One,In stock,All Products,,1,True,
The Death of Humanity: and the Case for Life,Â£58.11,Four,In stock,All Products,,4,True,
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,Three,In stock,All Products,,3,True,
The Art Forger,Â£40.76,Three,In stock,All Products,,3,True,
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,One,In stock,All Products,,1,True,
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,Five,In stock,All Products,,5,True,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,Four,In stock,All Products,,4,True,
Soul Reader,Â£39.58,Two,In stock,All Products,,2,True,
Security,Â£39.25,Two,In stock,All Products,,2,True,
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,Three,In stock,All Products,,3,True,
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,Two,In stock,All Products,,2,True,
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,Two,In stock,All Products,,2,True,
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,Three,In stock,All Products,,3,True,
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,Five,In stock,All Products,,5,True,
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,Five,In stock,All Products,,5,True,
"Pop Gun War, Volume 1: Gift",Â£18.97,One,In stock,All Products,,1,True,
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,Two,In stock,All Products,,2,True,
Patience,Â£10.16,Three,In stock,All Products,,3,True,
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,Four,In stock,All Products,,4,True,
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,One,In stock,All Products,,1,True,
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,One,In stock,All Products,,1,True,
On a Midnight Clear,Â£14.07,Three,In stock,All Products,,3,True,
Obsidian (Lux #1),Â£14.86,Two,In stock,All Products,,2,True,
My Paris Kitchen: Recipes and Stories,Â£33.37,Two,In stock,All Products,,2,True,
Masks and Shadows,Â£56.40,Two,In stock,All Products,,2,True,
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,Four,In stock,All Products,,4,True,
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,Two,In stock,All Products,,2,True,
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,Three,In stock,All Products,,3,True,
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,Two,In stock,All Products,,2,True,
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,One,In stock,All Products,,1,True,
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,Two,In stock,All Products,,2,True,
Join,Â£35.67,Five,In stock,All Products,,5,True,
In the Country We Love: My Family Divided,Â£22.00,Four,In stock,All Products,,4,True,
